id,estimate
9978,1
9641,2
9779,1
9639,3
9640,3
9645,1
9643,1
10130,1
9803,3
10165,3
9932,3
9544,3
9537,5
9885,2
9794,1
9534,3
9541,5
9806,2
9799,8
9787,2
9746,3
9531,2
9700,5
9527,3
9522,2
9945,13
10259,1
10272,2
10256,2
10194,3
9747,3
9664,2
9604,5
9613,3
10072,8
10387,1
10307,3
9921,3
10149,2
10085,1
10083,1
10154,1
10049,1
10159,1
9909,5
9926,3
9920,1
9919,1
9914,1
9823,3
9898,1
9826,3
9820,2
9816,2
9724,5
9827,1
9616,5
9817,3
9791,1
9619,3
9785,1
9584,2
9572,5
9608,3
9575,5
9578,8
9660,5
9589,5
9714,3
9710,2
9709,1
10229,2
10161,1
9863,1
9847,1
9970,1
10041,1
10060,2
10121,2
10446,2
9841,1
10289,1
10511,1
10517,3
10357,3
10510,2
10174,2
10465,1
8467,3
10474,2
10460,1
10466,1
10447,1
10395,1
9925,3
10373,1
10291,3
10396,1
10416,1
10292,3
10413,1
10389,2
10386,1
10337,1
10344,2
10333,1
10230,3
10279,2
10222,2
10301,1
10226,1
10219,3
9951,1
10248,1
10140,3
10196,1
10178,1
10166,1
10183,2
10095,1
10199,1
9933,5
10070,1
9968,1
10171,1
10176,1
10138,1
10107,1
9829,3
9844,1
10125,20
10042,3
10040,2
9969,1
10016,2
10039,1
9895,3
9990,5
9740,3
9998,1
9850,3
9896,3
9860,1
9811,2
9845,1
10385,1
10172,1
9987,2
9988,1
9892,5
9893,3
9889,2
9891,5
10267,1
10508,2
10448,3
10504,3
10449,3
10445,3
10372,5
10503,1
10423,2
10471,2
10507,5
10302,1
10485,3
10488,2
10502,5
10506,2
10483,1
10494,5
10484,1
10487,1
10499,1
10498,2
10480,3
10493,1
10501,1
10250,2
10420,3
10509,1
10450,8
10270,5
10421,1
10264,3
10263,3
10459,1
10276,5
10249,3
10419,3
10271,3
10241,3
10378,1
10277,2
10269,5
10265,3
10418,2
10308,3
10443,1
10266,8
10251,1
10300,2
10427,1
10288,3
10369,2
10004,5
10001,3
10278,2
10116,5
10213,8
10275,2
10007,2
10208,5
10215,5
10177,8
10273,2
10030,8
9995,13
10180,3
10003,3
10147,13
10168,1
9994,5
10045,5
10000,2
9992,13
9997,1
9993,5
10380,2
10323,1
10326,2
10325,1
10364,1
10322,2
10315,5
10321,1
10320,1
10426,3
